Index,Snore_Data,RED,IR
2812,-3705,23184,27473
2813,2238,23188,27481
2814,-3612,23190,27485
2815,5472,23202,27495
2816,336,23197,27500
2817,-4699,23203,27507
2818,215,23202,27514
2819,974,23204,27520
2820,1383,23202,27525
2821,-4535,23210,27530
2822,-4850,23207,27528
2823,2778,23212,27533
2824,4747,23211,27542
2825,-4809,23215,27548
2826,-2069,23216,27557
2827,2277,23223,27564
2828,-1893,23218,27571
2829,-4375,23226,27577
2830,-8212,23228,27579
2831,-525,23224,27579
2832,1036,23229,27575
2833,-3404,23224,27567
2834,-2359,23224,27563
2835,1575,23227,27557
2836,-3390,23219,27555
2837,4155,23213,27552
2838,-2819,23219,27547
2839,-2106,23218,27546
2840,-5584,23218,27548
2841,-11916,23214,27555
2842,-12210,23219,27550
2843,-2495,23220,27556
2844,-6955,23224,27565
2845,-15926,23228,27569
2846,-4837,23225,27579
2847,-6902,23231,27580
2848,-5518,23236,27591
2849,-8431,23236,27599
2850,-4313,23240,27599
2851,-4330,23242,27612
2852,-1317,23244,27615
2853,-5909,23250,27624
2854,-1786,23249,27628
2855,2675,23253,27638
2856,3927,23255,27639
2857,-1036,23259,27655
2858,4082,23260,27653
2859,-2892,23265,27664
2860,-122,23265,27668
2861,-1215,23272,27673
2862,-1901,23267,27680
2863,5044,23268,27683
2864,-1995,23272,27689
2865,2180,23275,27692
2866,10738,23277,27697
2867,-417,23275,27702
2868,3737,23281,27702
2869,8112,23282,27710
2870,8289,23283,27711
2871,-1242,23281,27714
2872,6798,23288,27721
2873,1304,23286,27719
2874,-2782,23290,27730
2875,4667,23291,27731
2876,2496,23292,27734
2877,2589,23294,27743
2878,3907,23297,27742
2879,8449,23300,27750
2880,1445,23301,27755
2881,2986,23303,27757
2882,-3640,23301,27764
2883,991,23308,27770
2884,-2242,23301,27755
2885,-3511,23294,27741
2886,4222,23279,27699
2887,-2746,23260,27658
2888,6519,23239,27611
2889,9199,23230,27573
2890,3376,23214,27542
2891,24,23207,27520
2892,3717,23198,27499
2893,-1233,23199,27485
2894,-434,23192,27478
2895,3649,23191,27473
2896,1938,23190,27471
2897,-9158,23194,27481
2898,10477,23196,27492
2899,5662,23201,27497
2900,-6952,23201,27502
2901,3780,23207,27517
2902,1038,23209,27523
2903,1059,23213,27529
2904,8763,23212,27531
2905,-897,23216,27536
2906,5518,23216,27542
2907,3612,23220,27546
2908,2135,23221,27553
2909,9102,23227,27564
2910,23,23228,27572
2911,8576,23230,27584
2912,6270,23239,27589
2913,4122,23242,27597
2914,13306,23239,27592
2915,601,23235,27588
2916,7119,23236,27590
2917,15083,23230,27587
2918,2331,23227,27577
2919,920,23231,27574
2920,24153,23224,27571
2921,-4251,23224,27571
2922,15188,23223,27564
2923,4127,23225,27572
2924,14829,23227,27571
2925,11347,23230,27573
2926,7863,23233,27572
2927,8863,23232,27574
2928,13961,23236,27585
2929,1540,23232,27594
2930,8854,23235,27595
2931,6300,23244,27602
2932,5336,23242,27607
2933,6366,23247,27612
2934,2365,23251,27619
2935,6526,23252,27628
2936,2927,23253,27632
2937,391,23253,27635
2938,394,23262,27644
2939,-2487,23258,27654
2940,-2912,23264,27651
2941,646,23263,27661
2942,1430,23268,27660
2943,-2187,23264,27671
2944,3742,23271,27667
2945,17,23269,27676
2946,-661,23273,27677
2947,4164,23270,27683
2948,-2234,23275,27688
2949,8257,23276,27698
2950,-335,23281,27695
2951,-908,23280,27699
2952,6412,23279,27702
2953,7377,23287,27713
2954,-2168,23286,27711
2955,1726,23281,27723
2956,2258,23295,27724
2957,5921,23288,27732
2958,1668,23290,27736
2959,-3220,23296,27734
2960,138,23292,27726
2961,-338,23284,27716
2962,3383,23269,27677
2963,-2267,23256,27633
2964,5191,23235,27601
2965,2597,23225,27561
2966,5384,23212,27528
2967,6201,23198,27511
2968,1229,23196,27490
2969,8755,23188,27477
2970,5433,23191,27476
2971,5920,23190,27467
2972,4091,23186,27471
2973,15037,23189,27474
2974,3125,23192,27479
2975,1669,23195,27488
2976,2224,23196,27491
2977,7926,23205,27498
2978,3026,23201,27510
2979,-113,23209,27511
2980,4279,23199,27520
2981,6416,23205,27516
2982,5163,23209,27531
2983,-4848,23211,27533
2984,-4362,23218,27540
2985,-5049,23217,27551
2986,-5018,23224,27566
2987,-6382,23231,27565
2988,-4297,23228,27574
2989,-4425,23227,27577
2990,-3628,23229,27583
2991,-4610,23231,27577
2992,-3768,23225,27573
2993,-723,23228,27570
2994,-155,23214,27560
2995,903,23221,27559
2996,587,23213,27553
2997,2689,23217,27549
2998,2068,23212,27552
2999,1349,23213,27554
3000,-8133,23214,27553
3001,-6011,23218,27557
3002,-3883,23219,27562
3003,-7000,23219,27563
3004,-11219,23221,27569
3005,-2466,23222,27574
3006,-3265,23224,27580
3007,-6227,23228,27585
3008,-8794,23228,27592
3009,-9417,23227,27595
3010,-5743,23238,27597
3011,-1801,23237,27606
3012,-4418,23233,27606
3013,502,23242,27613
3014,-549,23244,27617
3015,-5449,23242,27623
3016,315,23245,27627
3017,-835,23250,27633
3018,-3837,23247,27632
3019,2043,23250,27640
3020,-1679,23249,27639
3021,-2309,23255,27643
3022,2032,23254,27644
3023,-4844,23252,27652
3024,84,23258,27651
3025,343,23256,27656
3026,-913,23262,27660
3027,2962,23256,27667
3028,3953,23265,27667
3029,4314,23264,27673
3030,3390,23261,27678
3031,1807,23270,27682
3032,-2862,23259,27688
3033,-1132,23272,27694
3034,-583,23269,27696
3035,3097,23269,27686
3036,1673,23264,27668
3037,1507,23246,27629
3038,1553,23228,27595
3039,2983,23218,27554
3040,1238,23204,27523
3041,159,23190,27494
3042,3765,23187,27472
3043,4307,23173,27449
3044,5809,23171,27435
3045,2607,23170,27430
3046,2444,23164,27418
