Index,Snore_Data,RED,IR
5539,-6598,26718.0,29592.0
5540,-8208,26725.0,29583.0
5541,2455,26715.0,29574.0
5542,-2445,26714.0,29575.0
5543,-2712,26714.0,29578.0
5544,-4853,26716.0,29578.0
5545,-1039,26717.0,29574.0
5546,696,26714.0,29568.0
5547,-1628,26716.0,29567.0
5548,-1964,26710.0,29563.0
5549,-1223,26711.0,29559.0
5550,3436,26714.0,29563.0
5551,-8904,26705.0,29549.0
5552,-5843,26707.0,29553.0
5553,2705,26707.0,29553.0
5554,-4685,26704.0,29554.0
5555,1976,26711.0,29554.0
5556,5137,26709.0,29556.0
5557,-802,26713.0,29563.0
5558,-3260,26709.0,29564.0
5559,-4328,26711.0,29563.0
5560,-4654,26706.0,29561.0
5561,-2472,26712.0,29566.0
5562,-4193,26711.0,29563.0
5563,-4838,26708.0,29562.0
5564,-7839,26708.0,29556.0
5565,-710,26714.0,29556.0
5566,-1708,26702.0,29551.0
5567,-9973,26711.0,29556.0
5568,-6885,26703.0,29553.0
5569,-3006,26708.0,29557.0
5570,-6073,26707.0,29559.0
5571,-4343,26709.0,29551.0
5572,-9897,26712.0,29559.0
5573,-3093,26709.0,29560.0
5574,-433,26716.0,29560.0
5575,764,26712.0,29561.0
5576,6436,26712.0,29566.0
5577,-788,26710.0,29566.0
5578,-242,26711.0,29574.0
5579,632,26719.0,29574.0
5580,-2539,26713.0,29578.0
5581,-4219,26722.0,29581.0
5582,73,26721.0,29582.0
5583,-2290,26719.0,29587.0
5584,4454,26723.0,29592.0
5585,-943,26720.0,29588.0
5586,2274,26729.0,29599.0
5587,548,26728.0,29606.0
5588,-7183,26728.0,29607.0
5589,-1966,26731.0,29610.0
5590,-902,26731.0,29608.0
5591,-1034,26740.0,29609.0
5592,-1053,26733.0,29615.0
5593,-2302,26730.0,29618.0
5594,1120,26737.0,29616.0
5595,808,26734.0,29623.0
5596,6059,26740.0,29630.0
5597,3412,26738.0,29627.0
5598,2127,26739.0,29634.0
5599,1630,26742.0,29630.0
5600,5733,26742.0,29634.0
5601,5331,26743.0,29642.0
5602,5361,26752.0,29642.0
5603,152,26747.0,29651.0
5604,7024,26752.0,29655.0
5605,7838,26750.0,29656.0
5606,4614,26752.0,29664.0
5607,2942,26761.0,29665.0
5608,3403,26754.0,29673.0
5609,10400,26761.0,29674.0
5610,4012,26767.0,29684.0
5611,8530,26764.0,29681.0
5612,5689,26761.0,29685.0
5613,2693,26758.0,29684.0
5614,2316,26758.0,29678.0
5615,2123,26760.0,29668.0
5616,-418,26753.0,29654.0
5617,471,26745.0,29641.0
5618,2758,26740.0,29615.0
5619,3220,26737.0,29606.0
5620,4821,26728.0,29588.0
5621,6079,26725.0,29572.0
5622,-3478,26720.0,29566.0
5623,-2761,26717.0,29559.0
5624,-4006,26714.0,29547.0
5625,-3577,26708.0,29544.0
5626,-7276,26706.0,29546.0
5627,-7139,26707.0,29540.0
5628,-2545,26705.0,29541.0
5629,-763,26706.0,29536.0
5630,-11259,26699.0,29534.0
5631,-7823,26698.0,29523.0
5632,-7557,26698.0,29518.0
5633,-3890,26700.0,29516.0
5634,-187,26696.0,29514.0
5635,-616,26691.0,29507.0
5636,1187,26692.0,29506.0
5637,-432,26697.0,29509.0
5638,-517,26690.0,29511.0
5639,-5469,26700.0,29515.0
5640,-701,26701.0,29514.0
5641,-6794,26702.0,29518.0
5642,-3210,26698.0,29523.0
5643,-3434,26699.0,29518.0
5644,-5289,26698.0,29520.0
5645,-4990,26701.0,29527.0
5646,-5888,26702.0,29518.0
5647,-6371,26697.0,29520.0
5648,-13986,26698.0,29515.0
5649,-9455,26698.0,29515.0
5650,-3273,26692.0,29512.0
5651,-2669,26702.0,29518.0
5652,-6083,26700.0,29516.0
5653,2936,26701.0,29518.0
5654,6265,26702.0,29525.0
5655,1536,26703.0,29527.0
5656,6979,26698.0,29527.0
5657,-2793,26708.0,29527.0
5658,-961,26707.0,29531.0
5659,2536,26708.0,29541.0
5660,1813,26708.0,29538.0
5661,-579,26706.0,29536.0
5662,-1658,26712.0,29545.0
5663,-199,26709.0,29546.0
5664,5822,26712.0,29553.0
5665,5840,26717.0,29550.0
5666,-4353,26715.0,29566.0
5667,-5638,26719.0,29558.0
5668,-444,26726.0,29569.0
5669,4702,26721.0,29573.0
5670,-13423,26720.0,29569.0
5671,-10766,26722.0,29583.0
5672,-10176,26726.0,29579.0
5673,-6746,26727.0,29579.0
5674,-1511,26730.0,29586.0
5675,-2422,26731.0,29585.0
5676,-5667,26731.0,29594.0
5677,-10201,26733.0,29600.0
5678,-2320,26735.0,29597.0
5679,2935,26740.0,29617.0
5680,-3025,26738.0,29607.0
5681,-4675,26744.0,29611.0
5682,629,26742.0,29617.0
5683,-3834,26741.0,29623.0
5684,-3366,26742.0,29623.0
5685,1417,26746.0,29628.0
5686,11645,26747.0,29633.0
5687,11772,26750.0,29641.0
5688,5274,26747.0,29640.0
5689,3270,26752.0,29649.0
5690,5932,26753.0,29653.0
5691,4857,26757.0,29656.0
5692,6967,26760.0,29653.0
5693,186,26760.0,29661.0
5694,7686,26762.0,29666.0
5695,3799,26764.0,29672.0
5696,2784,26764.0,29672.0
5697,10858,26771.0,29678.0
5698,1654,26767.0,29681.0
5699,4338,26773.0,29688.0
5700,4360,26778.0,29694.0
5701,-22,26771.0,29697.0
5702,14387,26777.0,29710.0
5703,5644,26773.0,29710.0
5704,10613,26779.0,29711.0
5705,13980,26780.0,29722.0
5706,1623,26785.0,29715.0
5707,3922,26785.0,29726.0
5708,-2253,26789.0,29724.0
5709,3634,26787.0,29729.0
5710,6082,26792.0,29736.0
5711,3524,26789.0,29738.0
5712,6162,26797.0,29743.0
5713,3002,26791.0,29755.0
5714,-914,26796.0,29756.0
5715,-3469,26803.0,29757.0
5716,3938,26795.0,29758.0
5717,1753,26802.0,29773.0
5718,-9611,26803.0,29772.0
5719,-9936,26804.0,29775.0
5720,-11521,26809.0,29777.0
5721,-7421,26811.0,29780.0
5722,-5574,26807.0,29782.0
5723,-3231,26817.0,29789.0
5724,-4375,26813.0,29789.0
5725,-9777,26815.0,29800.0
5726,677,26818.0,29807.0
5727,-3212,26819.0,29804.0
5728,-6910,26817.0,29812.0
5729,-4229,26819.0,29815.0
5730,-7985,26822.0,29825.0
5731,-7584,26825.0,29830.0
5732,-4629,26823.0,29829.0
5733,-9520,26832.0,29838.0
5734,-13423,26830.0,29845.0
5735,-10766,26831.0,29841.0
5736,-10176,26833.0,29838.0
5737,-6746,26829.0,29838.0
5738,-1511,26829.0,29828.0
5739,-2422,26818.0,29800.0
5740,-5667,26812.0,29787.0
5741,-10201,26804.0,29772.0
5742,-2320,26800.0,29749.0
5743,2935,26788.0,29733.0
5744,-3025,26787.0,29719.0
5745,-4675,26782.0,29713.0
5746,629,26777.0,29704.0
5747,-3834,26776.0,29704.0
5748,-3366,26778.0,29697.0
5749,1417,26781.0,29701.0
5750,4195,26776.0,29695.0
5751,2656,26768.0,29692.0
5752,8566,26774.0,29682.0
5753,774,26767.0,29679.0
5754,2778,26763.0,29669.0
5755,1201,26764.0,29663.0
5756,-2717,26759.0,29656.0
5757,4164,26756.0,29649.0
5758,3661,26758.0,29645.0
5759,3795,26753.0,29641.0
5760,1256,26751.0,29641.0
5761,4271,26747.0,29634.0
5762,4284,26754.0,29633.0
5763,1698,26748.0,29634.0
5764,4943,26752.0,29638.0
5765,8015,26754.0,29640.0
5766,3108,26753.0,29640.0
5767,9020,26751.0,29640.0
5768,9666,26751.0,29642.0
5769,5792,26753.0,29639.0
5770,6668,26749.0,29632.0
5771,10509,26751.0,29639.0
5772,10622,26749.0,29631.0
5773,5025,26749.0,29633.0
5774,2546,26743.0,29636.0
5775,-865,26744.0,29632.0
5776,2781,26749.0,29629.0
5777,-1263,26746.0,29631.0
5778,-2161,26746.0,29634.0
5779,-1412,26746.0,29636.0
